epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_roc_auc
1,1.1274248932877764,0.4596315327735305,1.0847986790907813,0.48928490863974733,0.13163184581741283,0.6169251019266632
2,1.070389357986479,0.49387141245770144,1.0493539360485826,0.5138732235506429,0.219688297476279,0.6634793053509216
3,1.0337762202262162,0.5223461586664996,1.029333511862829,0.5194375516956162,0.20305569624379083,0.7157516696378154
4,0.9787778943041271,0.5563855119689184,0.9683297058184063,0.5523723588239717,0.25939980661451234,0.7573237957587236
5,0.8834844961443078,0.6086477002130593,0.9144770447244608,0.6010226332806978,0.4078782487276659,0.8019263206242325
6,0.7584091693480401,0.6715628524877805,0.8426648704384815,0.621400105271073,0.5050486575489411,0.8375524803205513
7,0.6364696245225454,0.7282616869281865,0.7602644482181703,0.6819309722535529,0.5757109623421647,0.8749813676696752
8,0.5362850306401322,0.7742824915402933,0.7226040690668957,0.7019324761260245,0.6276268997432497,0.891944621224007
9,0.4577026349117111,0.8070184233613235,0.7238891784369798,0.7035115422212196,0.6500376226405885,0.9061314463239114
10,0.39165888190911907,0.8349667878180224,0.7350284971593152,0.7256936611775321,0.6650812054983504,0.9118491157615815
11,0.3479837292977362,0.8556711367339266,0.738351973091465,0.7246409504474021,0.6749205165495331,0.9211898880812802
12,0.3094618449094287,0.8741446296528387,0.6749191639772778,0.7491540717347169,0.6789204257204714,0.9216701049955353
13,0.2793525316501892,0.8861762125579646,0.6863775813845784,0.7514098804421385,0.6934895672797549,0.9253929788819024
14,0.24912103127829635,0.8999122697079834,0.799916264544538,0.7403564177757727,0.6640949892047341,0.9172399560218647
15,0.22560368156743865,0.9121443789948616,0.6851310576699857,0.7704338672080607,0.7022304424268442,0.934189372990517
16,0.19920020135744484,0.9214939215440532,0.7468063219192915,0.766072637040379,0.6964868134807524,0.9270879866070137
17,0.18406423082091275,0.9295400426118561,0.7191487031284512,0.7758478081058726,0.7149911706172289,0.9329388757714788
18,0.16559776396384768,0.9361323474119564,0.7089202827829661,0.781938491615911,0.7136671416070544,0.9337734422635464
19,0.1503999408836397,0.9427998496052137,0.6524164639197666,0.7790811339198436,0.7076005730675079,0.9343488441316588
20,0.13247249483135892,0.9504449179095125,0.7521552184047766,0.7882547559966915,0.7136452262308257,0.9369883529100532
21,0.12502670510734945,0.9537536032084221,0.7006411351954295,0.7935183096473419,0.7305851431407931,0.9413719676871082
22,0.11401133033021983,0.9576137360571501,0.7430984755280915,0.7927663734115347,0.7115819219523025,0.9408745789214283
23,0.10298791001772041,0.9625767640055145,0.7258550873357772,0.7879539815023686,0.7194997751585079,0.937379706523134
24,0.10114825274923687,0.9639553828800601,0.770369686946554,0.7825400406045567,0.718060613648784,0.9367478163726213
25,0.09426002069030329,0.9665371600451185,0.7655209210586509,0.7863749154071735,0.7292309180575018,0.9384231502737087
26,0.0900150336174831,0.9676149893470359,0.6959030716139012,0.7970524099556358,0.7419578204354584,0.9387639543011964
27,0.08067783281078224,0.9712745958140118,0.8638571912260448,0.7752462591172269,0.7060818417452093,0.9388948778168495
28,0.07776457620363275,0.9729540042611856,0.7276363338919651,0.7969020227084743,0.7582980471715143,0.9415942253774927
29,0.07431715078664045,0.9731795964406568,0.7257326885075199,0.802090382735544,0.757975377992308,0.9436418371316689
30,0.07168764595116481,0.9747336758992355,0.8495820021372074,0.7912625009399203,0.744801232771417,0.9398330832438276
31,0.0660884581109165,0.9779170322095501,0.8001113234449037,0.8078802917512595,0.7420565063459615,0.9433416899146676
32,0.06578868042128115,0.9768893345030706,0.7033280750505637,0.8097601323407775,0.7639034138298333,0.946997462214183
33,0.06279834470267989,0.9794209800726908,0.8055837030329734,0.7970524099556358,0.752247521628959,0.9418650872909374
34,0.06079051168162765,0.9796215064544429,0.7721145309284313,0.8041206105722235,0.7385903571478298,0.9455449945418384
35,0.060403389525908506,0.9789447299160295,0.7229749008657986,0.8119407474246184,0.7761053663366188,0.9437316449138878
36,0.05782602765625533,0.9804236119814513,0.8181326586179728,0.7954733438604407,0.7346591652893839,0.9377283775218727
37,0.04495440385923483,0.9837824288757989,0.7896697645649371,0.8084066471163245,0.7545717860352361,0.9439404796602536
38,0.05484900111191302,0.9810251911267076,0.7474717471023925,0.8067523873975487,0.7512209874802472,0.9449974073168589
39,0.05356790447942744,0.981777165058278,0.7194236186211499,0.8100609068351003,0.7535182223322605,0.9473481055504989
40,0.05073396588103683,0.9830053891465096,0.7967752074237757,0.8140461688848786,0.7620693235614031,0.9405132743198144
41,0.04822968036958371,0.9834064419100138,0.8977744719419043,0.8024663508534476,0.7290597942715558,0.9359833473953673
42,0.047775778596909596,0.983857626268956,0.8727073476443444,0.8092337769757124,0.7580036661087248,0.9402397633372945
43,0.04651167837155651,0.9846597317959644,0.7990752437776422,0.8076547108805173,0.7476058986955888,0.938433787294638
44,0.04722878668341832,0.9841082842461462,0.6759384200755649,0.8208887886307241,0.7780014844324497,0.9494152571029254
45,0.04577278157188738,0.9845344028073694,0.7100790769603523,0.8064516129032258,0.7501417686113989,0.9394947964546114
46,0.04141745984195138,0.9870159167815515,0.8181400556265479,0.8232197909617265,0.7701407961542329,0.9479269661627487
47,0.04288635459045834,0.9854117057275348,0.7008283587718998,0.8196856906534326,0.7786114495958555,0.9516702356863821
48,0.0427322791195516,0.986013284872791,0.7685329797250166,0.8048725468080307,0.752773285910777,0.9434328608240271
49,0.03912290370706686,0.9870660483769896,0.7767882022349241,0.8206632077599819,0.7868978946799963,0.946791710860016
50,0.03815669364632992,0.9871913773655847,0.783117031530515,0.8102112940822618,0.7713404794626385,0.9446217885118886
51,0.03782556809574601,0.9871663115678656,0.771398625328394,0.7987066696744116,0.7292208146547592,0.9425648453382042
52,0.03826147686434588,0.9873919037473368,0.827281686123784,0.8181818181818182,0.7744841425561372,0.9454177313513915
53,0.03669768252060646,0.9875673643313698,0.8279459117608878,0.820136852394917,0.7768425872717242,0.9459687566206876
54,0.03711176844993528,0.9877177591176839,0.7511196920984499,0.8205128205128205,0.7429411220964899,0.9419047122087377
55,0.03486348237058652,0.9886451936332874,0.7593667629258293,0.8125422964132641,0.7625819818028395,0.9460643198015347
56,0.03599215950134048,0.9882441408697832,0.7742352233460832,0.8205128205128205,0.7745623429005065,0.9474947994459446
57,0.03542225911555248,0.9885198646446923,0.7880296525984153,0.8242725016918565,0.7860648389905825,0.9461421503632117
58,0.03388648346586295,0.9888457200150395,0.7446259459688911,0.8320174449206708,0.7889455611784693,0.952717907918589
59,0.03301205626858844,0.9893721017671387,0.8444189350020931,0.8164523648394616,0.7651265313002644,0.9502812172842369
60,0.034105685820872145,0.9887454568241635,0.7256634666495004,0.8302879915783141,0.7819228515493784,0.9535080735318326
61,0.032849884529725634,0.9891214437899486,0.7859813582152969,0.8148732987442665,0.7507043531799046,0.9489271200716656
62,0.032654758345309225,0.9887705226218825,0.7948048113958667,0.8189337544176254,0.7688759536434882,0.9456497953794546
63,0.025269570267848672,0.9918536157413209,0.7859392395296692,0.8224678547259192,0.7881824086747754,0.9481685893228791
64,0.02997019975986878,0.989948615114676,0.758864500198304,0.8238213399503722,0.7844036379242413,0.951740965076801
