diagnosis,diagnosis_label,analysis_group,outcome,outcome_label,n,diagnosis_n,lesion_with_diagnosis_n,lesion_without_diagnosis_n,lesion_prevalence_with_diagnosis,lesion_prevalence_without_diagnosis,risk_difference,crude_or,crude_ci_low,crude_ci_high,fisher_p,adjusted_n,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,fisher_q,adjusted_q
HT_C,高血圧 (HT_C),primary,wm_over1,白質病変あり (WM grade >= 1),1146,252,174,421,0.6904761904761905,0.470917225950783,0.21955896452540746,2.5063036725744565,1.8611545563670344,3.3750867587385014,6.252913206550014e-10,1146,1.7967251371850368,1.2852170521107085,2.511810136109609,0.0006083048557792818,8.75407848917002e-09,0.008516267980909946
HT_C,高血圧 (HT_C),primary,wm_over2,中等度以上 (WM grade >= 2),1146,252,52,101,0.20634920634920634,0.11297539149888143,0.09337381485032491,2.0413861386138614,1.4118509466982552,2.951626994811546,0.00022333343030827812,1146,1.4611141514783628,0.9824964037854987,2.1728879163576287,0.06110244754748631,0.0007816670060789735,0.17108685313296165
DM_C,糖尿病 (DM_C),primary,wm_over1,白質病変あり (WM grade >= 1),1146,335,218,377,0.6507462686567164,0.4648581997533909,0.1858880689033255,2.1449590786460813,1.647898894515746,2.791948865539021,9.556038666876569e-09,1146,1.2774318353875793,0.9384449424095914,1.7388682279769316,0.11966423464358172,6.689227066813599e-08,0.2693028757679301
DM_C,糖尿病 (DM_C),primary,wm_over2,中等度以上 (WM grade >= 2),1146,335,67,86,0.2,0.1060419235511714,0.09395807644882861,2.1075581395348837,1.4870092690752585,2.987070359206308,3.685775817959869e-05,1146,1.237972000034052,0.8445631853295176,1.8146358963898674,0.27390269047482274,0.0001720028715047939,0.4260708518497242
HL_C,脂質異常症 (HL_C),primary,wm_over1,白質病変あり (WM grade >= 1),1146,353,178,417,0.5042492917847026,0.5258511979823455,-0.021601906197642906,0.9171360054813292,0.7136089138892787,1.1787106861739067,0.522163717257648,1146,0.8605487801041488,0.6439769527802902,1.1499545127221267,0.3099395057984148,0.6645720037824611,0.4339153081177807
HL_C,脂質異常症 (HL_C),primary,wm_over2,中等度以上 (WM grade >= 2),1146,353,44,109,0.12464589235127478,0.13745271122320302,-0.012806818871928236,0.8935601674534605,0.6141575002786342,1.3000733077381772,0.5742164036197017,1146,0.9128663078457995,0.6095727945972719,1.3670637918652142,0.6581515815501506,0.6699191375563187,0.7678435118085091
himan,肥満 (himan),primary,wm_over1,白質病変あり (WM grade >= 1),1146,307,162,433,0.5276872964169381,0.5160905840286055,0.011596712388332597,1.0475750577367207,0.8062821974890098,1.3610786707306055,0.7389583961371675,1146,1.254113552776324,0.9186956007536671,1.7119933979949185,0.15388735758167435,0.7844994316231111,0.2693028757679301
himan,肥満 (himan),primary,wm_over2,中等度以上 (WM grade >= 2),1146,307,47,106,0.15309446254071662,0.1263408820023838,0.026753580538332822,1.2500362844702468,0.8621758546934382,1.8123805068141072,0.24042921053921873,1146,1.4908258762922149,0.9875866908200592,2.2504979199111204,0.05736542553875868,0.4207511184436328,0.17108685313296165
HT_D,高血圧 (HT_D),secondary,wm_over1,白質病変あり (WM grade >= 1),1146,65,47,548,0.7230769230769231,0.5069380203515264,0.2161389027253967,2.539639091646391,1.4561796261818787,4.429238398788662,0.0007829938046780679,1146,2.101159006105479,1.1318986956134443,3.900410156887298,0.0186466550013717,0.00219238265309859,0.1305265850096019
HT_D,高血圧 (HT_D),secondary,wm_over2,中等度以上 (WM grade >= 2),1146,65,15,138,0.23076923076923078,0.1276595744680851,0.10310965630114569,2.05,1.120553342507114,3.750379246201141,0.02376061918761521,1146,1.6320211881933298,0.8458952148798576,3.148727066732803,0.1440615861762317,0.04752123837523042,0.2693028757679301
DM_D,糖尿病 (DM_D),secondary,wm_over1,白質病変あり (WM grade >= 1),1146,64,46,549,0.71875,0.5073937153419593,0.21135628465804068,2.481076705120421,1.4203501510055259,4.333960616917804,0.001147351262168785,1146,1.8372657937851258,0.9799852730693399,3.444486044612272,0.05783915400314173,0.0026771529450604985,0.17108685313296165
DM_D,糖尿病 (DM_D),secondary,wm_over2,中等度以上 (WM grade >= 2),1146,64,11,142,0.171875,0.13123844731977818,0.040636552680221816,1.3739038001594472,0.7009771570786375,2.6928290501780427,0.34498111411182625,1146,0.9640006125376143,0.47133451465003984,1.9716298129851313,0.9200043053489226,0.4848153667224626,0.9907738672988398
HL_D,脂質異常症 (HL_D),secondary,wm_over1,白質病変あり (WM grade >= 1),1146,136,69,526,0.5073529411764706,0.5207920792079208,-0.013439138031450248,0.9476193178593724,0.6623769181994993,1.3556969557773797,0.7844994316231111,1146,0.9979735321995106,0.6631648127141199,1.5018154640845016,0.9922383621361796,0.7844994316231111,0.9922383621361796
HL_D,脂質異常症 (HL_D),secondary,wm_over2,中等度以上 (WM grade >= 2),1146,136,14,139,0.10294117647058823,0.13762376237623763,-0.034682585905649405,0.7190706451232457,0.4020784552891791,1.2859743810597444,0.3462966905160447,1146,0.8227060652709519,0.44449089750772897,1.5227427009837529,0.5344194563359477,0.4848153667224626,0.6801702171548425
