epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_roc_auc
1,1.6544538990893325,0.308659217877095,1.2031873839242118,0.47329192546583854,0.19328647351277217,0.5266923744821094
2,1.5686660191792277,0.31998758535071387,1.2637717700152664,0.4372670807453416,0.1286798990248973,0.6638062637233715
3,1.5466819358567583,0.3747672253258845,1.433630449135111,0.08819875776397515,0.04116421951473498,0.6486182218475436
4,1.5390890481529733,0.35304158907510863,1.4652728824141603,0.09565217391304348,0.07369417345509956,0.6911189338938485
5,1.5152308061802187,0.37057728119180633,1.535904582242788,0.337888198757764,0.12032972569885322,0.5635707115934971
6,1.526622304407282,0.35288640595903165,1.384526666943331,0.4062111801242236,0.1985759022537091,0.6776893042763527
7,1.4801093911177472,0.39757914338919925,1.2348224219328128,0.4409937888198758,0.22049718994076492,0.6780934088544278
8,1.4349955344037342,0.3985102420856611,1.268775627183618,0.4298136645962733,0.22930178982810565,0.6255168024681244
9,1.472096830846951,0.38112973308504033,1.2447246043578437,0.4509316770186335,0.22803985441594526,0.6900706989494384
10,1.4035220434767797,0.41247672253258844,1.4580503302331296,0.15031055900621118,0.2217125064117847,0.6831229448393098
11,1.3368311190294375,0.43559900682805713,1.1112187638786268,0.4645962732919255,0.2995826253915267,0.7643579944034972
12,1.3340395992398633,0.45328988206083176,1.2622146446512352,0.4496894409937888,0.3212857074880951,0.7148892168275521
13,1.3035440470845265,0.45360024829298573,1.2304020074583728,0.3937888198757764,0.2659634036388232,0.7467127317609481
14,1.2855433589697327,0.4548417132216015,1.0925667000113066,0.45714285714285713,0.3725496699705556,0.7723233452703866
15,1.2667399598233526,0.4719118559900683,1.1765400189050237,0.42111801242236024,0.3503447515940328,0.7647723690423783
16,1.24749429495271,0.4792054624456859,1.0819983778532989,0.4658385093167702,0.28348190869257084,0.7893085463516865
17,1.2319461201970285,0.4860335195530726,1.1313063777011374,0.43105590062111804,0.3376130505520996,0.7684223457761583
18,1.230750849571086,0.4792054624456859,1.0598881724458304,0.4968944099378882,0.39958422482823347,0.7829750362108874
19,1.1906871542954283,0.48494723774053383,1.1080985674946946,0.4894409937888199,0.421586627180431,0.7734898282624789
20,1.186768799557736,0.4928615766604593,1.1669537234010163,0.43975155279503103,0.3681105873037241,0.7556394851015652
21,1.1529546791836758,0.5097765363128491,1.140571929949411,0.47329192546583854,0.35583245292875876,0.7723689564459031
22,1.156164797398705,0.5110180012414649,1.100725197199709,0.4919254658385093,0.4034530278160381,0.7865143806874685
23,1.135170327070557,0.5225015518311608,1.081060200448362,0.48198757763975153,0.3023869461741152,0.7953008021365642
24,1.1133056261167993,0.5384854127870887,1.0484812004225594,0.537888198757764,0.3920041479002304,0.8103440520361822
25,1.1042837407705874,0.5252948479205463,1.0385488872942716,0.47577639751552797,0.3937224294280872,0.7971503652406743
26,1.0904741853309077,0.537243947858473,1.1367317584730823,0.4298136645962733,0.389734555984556,0.7786307858239649
27,1.0662295501621373,0.527001862197393,1.073486330198205,0.5130434782608696,0.3478191292135754,0.7864269384455156
28,1.0678105806431217,0.5366232153941651,1.0930725909167935,0.5043478260869565,0.40000488842993054,0.7849688661750283
29,1.0372106172815012,0.5415890751086282,0.9957945527497286,0.5204968944099378,0.34240407221591534,0.8148198064500619
30,1.0554354503464063,0.5389509621353197,0.9626719020168233,0.5503105590062112,0.3764868284624712,0.8174719813081577
